PAT_ABS,pacients,percentatge,percentatge_acumulat
300,30,0.01,99.73
165,30,0.01,99.74
384,30,0.01,99.75
304,30,0.01,99.76
295,29,0.01,99.77
281,29,0.01,99.78
209,29,0.01,99.79
130,29,0.01,99.8
122,29,0.01,99.81
398,29,0.01,99.82
141,28,0.01,99.83
379,28,0.01,99.84
369,28,0.01,99.85
150,28,0.01,99.86
387,28,0.01,99.87
339,28,0.01,99.88
98,27,0.01,99.89
263,27,0.01,99.9
244,27,0.01,99.91
399,27,0.01,99.92
317,27,0.01,99.93
213,26,0.0,99.93
137,26,0.0,99.93
265,26,0.0,99.93
198,26,0.0,99.93
374,26,0.0,99.93
380,26,0.0,99.93
138,26,0.0,99.93
394,25,0.0,99.93
215,25,0.0,99.93
11,25,0.0,99.93
236,25,0.0,99.93
256,25,0.0,99.93
194,24,0.0,99.93
338,24,0.0,99.93
303,24,0.0,99.93
378,24,0.0,99.93
91,23,0.0,99.93
203,23,0.0,99.93
401,23,0.0,99.93
240,23,0.0,99.93
184,22,0.0,99.93
344,22,0.0,99.93
328,22,0.0,99.93
262,22,0.0,99.93
111,22,0.0,99.93
298,22,0.0,99.93
167,22,0.0,99.93
397,22,0.0,99.93
242,22,0.0,99.93
307,21,0.0,99.93
140,21,0.0,99.93
106,21,0.0,99.93
229,20,0.0,99.93
70,20,0.0,99.93
260,20,0.0,99.93
305,19,0.0,99.93
259,19,0.0,99.93
214,18,0.0,99.93
162,18,0.0,99.93
139,17,0.0,99.93
306,17,0.0,99.93
178,17,0.0,99.93
269,17,0.0,99.93
163,16,0.0,99.93
239,16,0.0,99.93
131,15,0.0,99.93
201,15,0.0,99.93
370,15,0.0,99.93
340,15,0.0,99.93
188,15,0.0,99.93
243,14,0.0,99.93
110,14,0.0,99.93
120,14,0.0,99.93
2,14,0.0,99.93
314,14,0.0,99.93
246,13,0.0,99.93
297,13,0.0,99.93
337,13,0.0,99.93
179,13,0.0,99.93
166,12,0.0,99.93
7,12,0.0,99.93
118,12,0.0,99.93
204,12,0.0,99.93
373,12,0.0,99.93
237,12,0.0,99.93
329,11,0.0,99.93
249,11,0.0,99.93
3,11,0.0,99.93
169,11,0.0,99.93
